hotelcode,hotelid,hotelname
999,S980001,ＫＮＴ管理機関
1001,S010001,稚内サンホテル
1002,S010002,サフィールホテル稚内
1003,S010003,ホテル御園
1005,S010005,ホテル大将
1006,S010006,ホテルめぐま
1007,S010007,天然温泉 天北の湯 ドーミーイン稚内
1008,S010008,稚内グランドホテル
1010,S010010,ホテル奥田屋
1012,S010012,ホテル豊富
1014,S010014,はまとんべつ温泉ウイング
1015,S010015,北国グランドホテル
1016,S010016,利尻マリンホテル
1017,S010017,ホテル利尻
1018,S010018,利尻富士観光ホテル
1019,S010019,アイランドインリシリ
1020,S010020,ホテルあや瀬
1022,S010022,ホテル礼文
1023,S010023,花れぶん
1024,S010024,三井観光ホテル
1025,S010025,ホテルクレッセント旭川
1026,S010026,アートホテル旭川
1027,S010027,星野リゾート ＯＭＯ７ 旭川（おもせぶん）
1028,S010028,藤田観光ワシントンホテル旭川
1029,S010029,コートホテル旭川
1030,S010030,ホテルルートイン旭川駅前一条通
1032,S010032,旭川トーヨーホテル
1033,S010033,旭川パークホテル
1034,S010034,天人閣
1036,S010036,旭岳温泉ホテルベアモンテ
1037,S010037,旭岳温泉ホテルディアバレー
1038,S010038,ラビスタ大雪山
1039,S010039,ホテル大雪 ＯＮＳＥＮ＆ＣＡＮＹＯＮ ＲＥＳＯＲＴ
1040,S010040,マウントビューホテル
1041,S010041,層雲峡 朝陽亭
1042,S010042,層雲峡温泉 朝陽リゾートホテル
1043,S010043,層雲閣グランドホテル
1044,S010044,層雲峡観光ホテル
1045,S010045,新富良野プリンスホテル
1046,S010046,富良野プリンスホテル
1047,S010047,ホテルナトゥールヴァルト富良野
1048,S010048,ホテルベルヒルズ
1049,S010049,ニュー富良野ホテル
1050,S010050,ホテルエーデルヴェルメ
1051,S010051,リゾートインノースカントリー
1052,S010052,富良野ホップスホテル
1053,S010053,富良野リゾート オリカ
1054,S010054,ホテルパークヒルズ
1055,S010055,湯元白金温泉ホテル
1056,S010056,大雪山白金観光ホテル
1057,S010057,星野リゾート トマム ザ・タワー
1058,S010058,星野リゾート リゾナーレ トマム
1060,S010060,ホテルマウントレースイ
1061,S010061,ゆうばりホテルシューパロ
1062,S010062,合宿の宿ひまわり
1063,S010063,天都の郷ホテル本陣網走湖
1065,S010065,網走セントラルホテル
1066,S010066,ホテルルートイン網走駅前
1067,S010067,北天の丘あばしり湖鶴雅リゾート
1068,S010068,ホテル網走湖荘
1069,S010069,天都の宿 網走観光ホテル
1071,S010071,ホテルルートイン北見大通西
1073,S010073,大江本家
1074,S010074,温根湯ホテル四季平安の館
1075,S010075,ノーザンアークリゾートホテル
1076,S010076,サロマ湖鶴雅リゾート
1077,S010077,ルートイングランティアサロマ湖
1078,S010078,紋別セントラルホテル
1079,S010079,紋別プリンスホテル
1080,S010080,ホテル知床
1081,S010081,知床第一ホテル
1082,S010082,北こぶし 知床 ホテル＆リゾート
1083,S010083,キキ 知床 ナチュラルリゾート
1084,S010084,秘境知床の宿 地の涯
1085,S010085,らうす第一ホテル
1086,S010086,羅臼の宿まるみ
1087,S010087,ルートイングランティア知床斜里駅前
1088,S010088,ホテルねむろ海陽亭
1090,S010090,野付湯元うたせ屋
1091,S010091,釧路プリンスホテル
1092,S010092,ＡＮＡクラウンプラザホテル釧路
1093,S010093,ホテルクラウンヒルズ釧路
1094,S010094,ラビスタ釧路川
1095,S010095,ホテルルートイン釧路駅前
1096,S010096,あかん遊久の里 鶴雅
1097,S010097,阿寒の森鶴雅リゾート花ゆう香
1098,S010098,あかん鶴雅別荘 鄙の座
1099,S010099,ニュー阿寒ホテル
1100,S010100,あかん湖鶴雅ウイングス
1101,S010101,ホテル御前水
1102,S010102,ホテル阿寒湖荘
1104,S010104,ホテル摩周
1106,S010106,御園ホテル
1107,S010107,温泉浪漫の宿 湯の閣池田屋
1108,S010108,川湯観光ホテル
1109,S010109,自家源泉かけ流し お宿 欣喜湯（きんきゆ）
1111,S010111,川湯第一ホテル忍冬
1113,S010113,屈斜路プリンスホテル
1114,S010114,森のスパリゾート 北海道ホテル
1115,S010115,ホテル日航ノースランド帯広
1116,S010116,ホテルグランテラス帯広
1117,S010117,アパホテル＜帯広駅前＞
1118,S010118,リッチモンドホテル帯広駅前
1119,S010119,ホテルルートイン帯広駅前
1120,S010120,十勝川温泉第一ホテル
1121,S010121,ホテル大平原
1122,S010122,笹井ホテル
1123,S010123,観月苑
1124,S010124,十勝川国際ホテル筒井
1125,S010125,十勝幕別温泉グランヴィリオホテル
1126,S010126,サホロリゾートホテル
1127,S010127,然別湖畔温泉ホテル風水
1128,S010128,ホテル福原
1129,S010129,糠平舘観光ホテル
1130,S010130,うらかわ優駿ビレッジ「ＡＥＲＵ」
1131,S010131,えりも観光館
1132,S010132,ニューオータニイン札幌
1133,S010133,京王プラザホテル札幌
1134,S010134,ＪＲタワーホテル日航札幌
1135,S010135,ホテルモントレ札幌
1136,S010136,ホテルモントレエーデルホフ札幌
1137,S010137,ホテルクラビーサッポロ
1138,S010138,ホテルマイステイズ札幌アスペン
1139,S010139,ＡＮＡクラウンプラザホテル札幌
1140,S010140,ホテルグレイスリー札幌
1141,S010141,センチュリーロイヤルホテル
1143,S010143,ホテル法華クラブ札幌
1145,S010145,ネストホテル札幌駅前
1146,S010146,ホテルマイステイズ札幌駅北口
1147,S010147,ホテルサンルート札幌
1148,S010148,クロスホテル札幌
1149,S010149,ホテルルートイン札幌駅前北口
1150,S010150,中村屋旅館
1151,S010151,三井ガーデンホテル札幌
1152,S010152,ホテルパールシティ札幌
1153,S010153,ホテル京阪札幌
1154,S010154,札幌プリンスホテル
1155,S010155,ロイトン札幌
1156,S010156,札幌グランドホテル
1157,S010157,札幌ビューホテル大通公園
1158,S010158,ホテルサンルートニュー札幌
1159,S010159,札幌クラッセホテル
1160,S010160,ホテルリソルトリニティ札幌
1161,S010161,アパホテル＜札幌＞
1162,S010162,ホテル札幌ガーデンパレス
1163,S010163,ホテルオークラ札幌
1164,S010164,ドーミーインＰＲＥＭＩＵＭ札幌
1165,S010165,ネストホテル札幌大通
1167,S010167,ホテルハシモト
1168,S010168,札幌東急ＲＥＩホテル
1169,S010169,フェアフィールド・バイ・マリオット札幌
1170,S010170,ＡＮＡホリデイ・イン札幌すすきの
1171,S010171,アパホテル＜札幌すすきの駅前＞
1172,S010172,アパホテル＜札幌すすきの駅西＞
1173,S010173,Ｔマークシティホテル札幌
1174,S010174,ジャスマックプラザホテル
1176,S010176,メルキュールホテル札幌
1177,S010177,ホテルビスタ札幌［大通］
1178,S010178,ホテルルートイン札幌中央
1179,S010179,ホテルマイステイズプレミア札幌パーク
1180,S010180,札幌エクセルホテル東急
1181,S010181,札幌パークホテル
1182,S010182,クインテッサホテル札幌
1183,S010183,ホテルライフォート札幌
1185,S010185,ホテルビスタ札幌中島公園
1187,S010187,ホテルリソル札幌 中島公園
1189,S010189,イビススタイルズ札幌
1190,S010190,プレミアホテル−ＴＳＵＢＡＫＩ−札幌
1191,S010191,ホテルルートイン札幌白石
1192,S010192,シャトレーゼ ガトーキングダムサッポロ ホテル＆スパリゾート
1193,S010193,ホテルエミシア札幌
1194,S010194,アパホテル＆リゾート＜札幌＞
1195,S010195,札幌北広島クラッセホテル
1196,S010196,定山渓ビューホテル
1197,S010197,定山渓万世閣ホテルミリオーネ
