date,hotelid,hotelname,price,resid,planid,pref,city,GA,device,ref
2023/10/12,S120097,ＳＰＡ＆ＨＯＴＥＬ 舞浜ユーラシア,15840,2486751633,3494866-26327736-8477935-15445478,Shimane,Matsue,GA1000353029.1695818579,mobile,MailMag / email
2023/10/12,S120097,ＳＰＡ＆ＨＯＴＥＬ 舞浜ユーラシア,15840,2486751666,3494866-26327736-8477935-15445478,Shimane,Matsue,GA1000353029.1695818579,mobile,MailMag / email
2023/10/30,S120097,ＳＰＡ＆ＨＯＴＥＬ 舞浜ユーラシア,14300,2486835361,3486174-26062448-8452784-15213615,Yamagata,Yamagata,GA1000353029.1695818579,mobile,MailMag / email
2023/10/12,S120097,ＳＰＡ＆ＨＯＴＥＬ 舞浜ユーラシア,15840,2486751731,3494866-26327736-8477935-15445478,Shimane,Matsue,GA1000353029.1695818579,mobile,MailMag / email
2023/10/12,S120097,ＳＰＡ＆ＨＯＴＥＬ 舞浜ユーラシア,15840,2486751786,3494866-26327736-8477935-15445478,Shimane,Matsue,GA1000353029.1695818579,mobile,MailMag / email
2023/10/30,S120097,ＳＰＡ＆ＨＯＴＥＬ 舞浜ユーラシア,14300,2486835372,3486174-26062448-8452784-15213615,Yamagata,Yamagata,GA1000353029.1695818579,mobile,MailMag / email
2023/10/30,S120097,ＳＰＡ＆ＨＯＴＥＬ 舞浜ユーラシア,15840,2486835331,3494866-26327735-8477935-15445477,Yamagata,Yamagata,GA1000353029.1695818579,mobile,MailMag / email
2023/10/30,S120097,ＳＰＡ＆ＨＯＴＥＬ 舞浜ユーラシア,15840,2486835256,3494866-26327738-8477935-15445480,Yamagata,Yamagata,GA1000353029.1695818579,mobile,MailMag / email
2023/10/22,S240054,鳥羽グランドホテル,27500,2486788530,3490762-26205603-8468422-15339930,Fukuoka,Kitakyushu,GA1000353029.1695818579,mobile,MailMag / email
2023/10/12,S120097,ＳＰＡ＆ＨＯＴＥＬ 舞浜ユーラシア,15840,2486751705,3494866-26327736-8477935-15445478,Shimane,Matsue,GA1000353029.1695818579,mobile,MailMag / email
2023/10/12,S120097,ＳＰＡ＆ＨＯＴＥＬ 舞浜ユーラシア,15840,2486751970,3494866-26327736-8477935-15445478,Shimane,Matsue,GA1000353029.1695818579,mobile,MailMag / email
2023/10/12,S120097,ＳＰＡ＆ＨＯＴＥＬ 舞浜ユーラシア,15840,2486751957,3494866-26327736-8477935-15445478,Shimane,Matsue,GA1000353029.1695818579,mobile,MailMag / email
2023/10/16,S120097,ＳＰＡ＆ＨＯＴＥＬ 舞浜ユーラシア,17160,2486770144,3494866-26327736-8477935-15445478,Mie,Toba,GA1000353029.1695818579,mobile,MailMag / email
2023/10/16,S120097,ＳＰＡ＆ＨＯＴＥＬ 舞浜ユーラシア,17160,2486770185,3494866-26327736-8477935-15445478,Mie,Toba,GA1000353029.1695818579,mobile,MailMag / email
2023/10/2,S010208,灯の湯 ドーミーイン ＰＲＥＭＩＵＭ小樽,11220,2486689024,3453836-25152145-8274883-14521304,Hokkaido,Sapporo,GA1000378334.1696222257,desktop,atrrd.valuecommerce.com / referral
2023/10/2,S010208,灯の湯 ドーミーイン ＰＲＥＭＩＵＭ小樽,11220,2486689245,3453836-25152145-8274883-14521304,Hokkaido,Sapporo,GA1000378334.1696222257,desktop,atrrd.valuecommerce.com / referral
2023/10/2,S010959,グリッズプレミアムホテル小樽,11000,2486689061,3453836-25152152-8274883-14521310,Hokkaido,Sapporo,GA1000378334.1696222257,desktop,atrrd.valuecommerce.com / referral
2023/10/2,S010959,グリッズプレミアムホテル小樽,11000,2486689393,3453836-25152152-8274883-14521310,Hokkaido,Sapporo,GA1000378334.1696222257,desktop,atrrd.valuecommerce.com / referral
2023/10/2,S010959,グリッズプレミアムホテル小樽,11000,2486689217,3453836-25152152-8274883-14521310,Hokkaido,Sapporo,GA1000378334.1696222257,desktop,atrrd.valuecommerce.com / referral
2023/10/2,S010959,グリッズプレミアムホテル小樽,11000,2486689231,3453836-25152152-8274883-14521310,Hokkaido,Sapporo,GA1000378334.1696222257,desktop,atrrd.valuecommerce.com / referral
2023/10/2,S010959,グリッズプレミアムホテル小樽,11000,2486689332,3453836-25152152-8274883-14521310,Hokkaido,Sapporo,GA1000378334.1696222257,desktop,atrrd.valuecommerce.com / referral
2023/10/2,S010959,グリッズプレミアムホテル小樽,11000,2486689296,3453836-25152152-8274883-14521310,Hokkaido,Sapporo,GA1000378334.1696222257,desktop,atrrd.valuecommerce.com / referral
2023/10/23,S130168,ロッテシティホテル錦糸町,9900,2486782331,3494735-26333587-8477579-15449864,Saitama,Asaka,GA100137919.1690968854,desktop,(direct) / (none)
2023/10/31,S130168,ロッテシティホテル錦糸町,12100,2486829624,3494735-26333587-8477579-15449864,Saitama,Toda,GA100137919.1690968854,desktop,(direct) / (none)
2023/10/26,S130167,東武ホテルレバント東京,14850,2486816388,3489203-26182125-8465036-15318488,Saitama,Asaka,GA100137919.1690968854,desktop,(direct) / (none)
2023/10/31,S130168,ロッテシティホテル錦糸町,9350,2486829725,3489203-26182151-8465036-15318513,Saitama,Toda,GA100137919.1690968854,desktop,(direct) / (none)
2023/11/21,S130168,ロッテシティホテル錦糸町,12100,2486907056,3494735-26333587-8477579-15449864,Saitama,Toda,GA100137919.1690968854,desktop,(direct) / (none)
2023/10/31,S130168,ロッテシティホテル錦糸町,9350,2486836448,3489203-26182151-8465036-15318513,Saitama,Toda,GA100137919.1690968854,desktop,(direct) / (none)
2023/10/31,S130168,ロッテシティホテル錦糸町,12100,2486829701,3489203-26182170-8465036-15318532,Saitama,Toda,GA100137919.1690968854,desktop,(direct) / (none)
2023/10/23,S130168,ロッテシティホテル錦糸町,13530,2486782230,3489203-26182151-8465036-15318513,Saitama,Asaka,GA100137919.1690968854,desktop,(direct) / (none)
2023/10/31,S130168,ロッテシティホテル錦糸町,12100,2486829736,3489203-26182170-8465036-15318532,Saitama,Toda,GA100137919.1690968854,desktop,(direct) / (none)
2023/10/23,S130168,ロッテシティホテル錦糸町,11000,2486782368,3489203-26182149-8465036-15318511,Saitama,Asaka,GA100137919.1690968854,desktop,(direct) / (none)
2023/10/30,S130168,ロッテシティホテル錦糸町,9900,2486832144,3494735-26333587-8477579-15449864,Saitama,Asaka,GA100137919.1690968854,desktop,(direct) / (none)
2023/12/27,S130168,ロッテシティホテル錦糸町,11000,2487026890,3489203-26182149-8465036-15318511,Saitama,Toda,GA100137919.1690968854,desktop,google / cpc
2023/12/28,S130168,ロッテシティホテル錦糸町,12650,2487051550,3489203-26182150-8465036-15318512,Saitama,Toda,GA100137919.1690968854,desktop,google / cpc
