hotelcode,hotelid,hotelname
1039,S010039,ホテル大雪 ＯＮＳＥＮ＆ＣＡＮＹＯＮ ＲＥＳＯＲＴ
1053,S010053,富良野リゾート オリカ
1058,S010058,星野リゾート リゾナーレ トマム
1067,S010067,北天の丘あばしり湖鶴雅リゾート
1081,S010081,知床第一ホテル
1082,S010082,北こぶし 知床 ホテル＆リゾート
1083,S010083,キキ 知床 ナチュラルリゾート
1096,S010096,あかん遊久の里 鶴雅
1098,S010098,あかん鶴雅別荘 鄙の座
1114,S010114,森のスパリゾート 北海道ホテル
1115,S010115,ホテル日航ノースランド帯広
1120,S010120,十勝川温泉第一ホテル
1133,S010133,京王プラザホテル札幌
1134,S010134,ＪＲタワーホテル日航札幌
1136,S010136,ホテルモントレエーデルホフ札幌
1148,S010148,クロスホテル札幌
1154,S010154,札幌プリンスホテル
1156,S010156,札幌グランドホテル
1190,S010190,プレミアホテル−ＴＳＵＢＡＫＩ−札幌
1197,S010197,定山渓万世閣ホテルミリオーネ
1198,S010198,グランドブリッセンホテル定山渓
1199,S010199,奥定山渓温泉 佳松御苑
1201,S010201,章月グランドホテル
1204,S010204,ぬくもりの宿 ふる川
1206,S010206,定山渓鶴雅リゾートスパ森の謌
1213,S010213,料亭湯宿 銀鱗荘
1224,S010224,しこつ湖鶴雅リゾートスパ水の謌
1235,S010235,旅亭 花ゆら
1237,S010237,望楼ＮＯＧＵＣＨＩ登別
1243,S010243,登別温泉郷 滝乃家
1247,S010247,緑の風リゾートきたゆざわ
1251,S010251,ザ レイクビューＴＯＹＡ 乃の風リゾート
1257,S010257,ザ・ウィンザーホテル洞爺リゾート＆スパ
1261,S010261,ニセコ昆布温泉 鶴雅別荘 杢の抄
1278,S010278,ウェスティン ルスツリゾート
1283,S010283,ＨＡＫＯＤＡＴＥ男爵倶楽部ＨＯＴＥＬ＆ＲＥＳＯＲＴＳ
1298,S010298,望楼ＮＯＧＵＣＨＩ函館
1304,S010304,竹葉新葉亭
5196,S010319,心のリゾート海の別邸ふる川
42083,S010366,函館大沼 鶴雅リゾート エプイ
48404,S010395,女性のためだけのお宿翠蝶館
55983,S010406,翠山亭倶楽部定山渓
56003,S010407,支笏湖第一寶亭留翠山亭
57663,S010415,フラノ寶亭留
59964,S010418,クラブメッド 北海道 サホロ
79743,S010601,小樽旅亭 藏群
90324,S010648,レイクサイドヴィラ翠明閣
98343,S010672,カムイの湯 ラビスタ阿寒川
116723,S010753,ＨＡＫＯＤＡＴＥ 海峡の風
140900,S010830,クラブメッド 北海道 トマム
141745,S010837,プレミアホテル 中島公園 札幌
144370,S010865,ＨＯＴＥＬ＆ＳＰＡ センチュリーマリーナ函館
149702,S010911,敷島定山渓別邸
150291,S010919,ポルトムインターナショナル北海道
150298,S010920,パークハイアットニセコ ＨＡＮＡＺＯＮＯ
150720,S010922,函館湯の川温泉 海と灯／ヒューイットリゾート
151525,S010931,シャレーアイビー定山渓
151526,S010932,シャレーアイビーヒラフ
151533,S010933,ザ・レイクスイート湖の栖
151538,S010934,しこつ湖鶴雅別荘 碧の座
151584,S010935,厨翠山
151700,S010940,東山ニセコビレッジ リッツ・カールトン・リザーブ
151702,S010941,ＷＥ ＨＯＴＥＬ ＴＯＹＡ
151712,S010943,Ｙｕ Ｋｉｒｏｒｏ
152427,S010957,十勝川温泉 三余庵
152630,S010961,定山渓 ゆらく草庵（共立リゾート）
153276,S010970,綾ニセコ
153360,S010972,ラビスタ函館ベイＡＮＮＥＸ
153456,S010974,割烹旅館 若松
153607,S010975,洞爺湖 鶴雅リゾート 洸の謌
1328,S020014,南部屋・海扇閣
1342,S020028,八甲田ホテル
1357,S020043,ホテルグランメール山海荘
1392,S030021,ホテル紫苑
1403,S030032,花巻温泉 佳松園
1409,S030038,山の神温泉 優香苑
73743,S030085,游泉 志だて
110163,S030146,渚亭たろう庵
129323,S030175,四季彩の宿ふる里
151682,S030219,山の神温泉別墅 清流館
151711,S030220,四季亭
1450,S040018,小松館 好風亭
1454,S040022,松島温泉元湯 ホテル 海風土
1479,S040047,ウェスティンホテル仙台
1482,S040050,仙台ロイヤルパークホテル
1487,S040055,篝火の湯 緑水亭
1495,S040063,茶寮 宗園
1505,S040073,時音の宿 湯主一條
