name,title,summary,url,ido,keido
ハイアット リージェンシー 東京, ハイアット リージェンシー 東京 高層ビルが立ち並ぶ新宿新都心で叶う、静かな安らぎ,世界の人々に愛されるハイアットホテルチェーンのひとつ、ハイアット リージェンシー 東京は伝統に培われた確かなサービスと、時代をリードする新鮮な感覚を持ったホテルとして歩んでまいりました。訪れる皆さまを最初にお迎えするのはクリスタルシャンデリアが燦然と輝くアトリウムロビー。出会いの場にふさわしい、華やぎを演出します。ビジネスやシティリゾートとしてのご宿泊、お食事、ご宴会に。お客様ひとりひとりにご満足いただける、くつろぎの時間をお約束します。,https://www.ikyu.com/00000007/,35.690901,139.691042
ヒルトン東京, ヒルトン東京 東京・新宿で「ヒルトン・スタンダード」のサービスを体験,ビジネス、ショッピングの中心地、新宿副都心の超高層ビル街に位置し、印象的なS字型のフォルムが異彩を放つヒルトン東京。「ヒルトン・スタンダード」と言われる高水準のサービスを誇ります。客室には障子や襖が自然に取り入れられ、都会に居ながらも落ち着いた空間をご提案しております。丸の内線「西新宿駅」、大江戸線「都庁前」駅からも近く、JR・私鉄「新宿駅」西口からは徒歩10分と好立地ですので、ビジネスにも観光にもとても便利です。,https://www.ikyu.com/00000029/,35.692554,139.691073
ヨコハマ グランド インターコンチネンタル ホテル, ヨコハマ グランド インターコンチネンタル ホテル ヨットの帆をイメージした外観が特徴、横浜の街や海を望む特等席,異文化が交錯する国際都市・横浜の新都心、みなとみらい21。ヨコハマ グランド インターコンチネンタル ホテルのそのヨットの帆をイメージしたユニークな外観は、この街のシンボルにもなっています。また、ロケーションは横浜観光の拠点としてはもちろんのこと、複合コンベンションセンター「パシフィコ横浜」に位置し、ビジネスの拠点としても最適です。,https://www.ikyu.com/00000031/,35.457607,139.637166
ホテルオークラ神戸, ホテルオークラ神戸 南に海、北に六甲の山々や神戸の街並みを望む絶好のロケーション,ホテルオークラ神戸 は、神戸のシーサイドに位置する超高層ホテルです。南に海、北に六甲の山並みを臨み、神戸の市街地にありながら落ち着きと開放感に溢れる「都会のオアシス」。世界のVIPをもてなす味と心を込めたサービスで、お客様にくつろぎのホテルステイをお約束いたします。,https://www.ikyu.com/00000032/,34.68382,135.18799
オークラアクトシティホテル浜松, オークラアクトシティホテル浜松 高層階から煌めく夜景を望む浜松のランドマークホテル,オークラアクトシティホテル浜松はJR浜松駅東口より「動く歩道」で直結、徒歩3分。世界中の賓客をおもてなしするホテルオークラのグループホテルです。45階建ての超高層シティホテルで、ゆとりある客室からは方角により富士山や南アルプスの山並み、遠州灘の風景を一望することができます。客室は全322室。上層階にはワンランク上の寛ぎをお届けするアッパープレミアムフロアを有しています。館内にはレストラン、ヘルスクラブをはじめ、大小の会議・宴会場を完備しています。,https://www.ikyu.com/00000034/,34.705416,137.735867
横浜ベイシェラトン ホテル＆タワーズ, 横浜ベイシェラトン ホテル＆タワーズ 横浜駅西口直結。上質なホスピタリティが叶える快適なステイ,横浜ベイシェラトン ホテル＆タワーズは世界72ヵ国、440を超える「シェラトン」ならではの“上質”なホスピタリティで世界中のお客様をお迎えしており、国内版ミシュランガイドにおいても「非常に快適」の評価を5年連続で受けております。高層階のシェラトンクラブフロアーで快適な滞在と、専用のラウンジで最高の眺望のもと、リラックスしたお時間をお過ごしください。その他横浜港を臨む最上階のスカイラウンジなど、7つのレストラン＆バーもございます。ゆっくりと身を委ね充実したホテルライフをご体験ください。,https://www.ikyu.com/00000037/,35.466837,139.620204
ホテルオークラ福岡, ホテルオークラ福岡 福岡の中心部・中洲川端駅直結「博多リバレイン」内の非日常空間,喧騒からのがれてひとときの休息を求める。心はなやぐ非日常を味わう。ゆたかな出会いの時間を愉しむ。ホテルがお客様にできること、そのすべてにより高い完成度を追求して――。歴史と新しさが息づく国際都市・福岡にふさわしい、やすらぎとゆとりのおもてなし。ホテルオークラ福岡には、上質の時間が流れています。,https://www.ikyu.com/00000041/,33.595508,130.405116
ヒルトン東京ベイ, ヒルトン東京ベイ パークを楽しむゲストのニーズに応える、多様なお部屋をご用意,ヒルトン東京ベイは、東京ディズニーリゾート®のオフィシャルホテルです。混雑時の入園保証、舞浜駅での手荷物預かりなどの魅力的な特典が満載。 828室の客室は、広大な東京湾に面したオーシャン側と、東京ディズニーランド®や東京ディズニーシー®を目の前にしたパーク側にあり、ファミリー向けの客室からモダンでスタイリッシュな客室まで、多様なタイプの部屋が揃っています。館内にはキッズ向けの朝食コーナーや遊び場など、お子様連れのゲストに喜ばれる施設やサービスも充実。都心からわずか30分あまりで体感できる、海と空に囲まれたリゾートの雰囲気をお楽しみください。,https://www.ikyu.com/00000049/,35.627171,139.873704
札幌グランドホテル, 札幌グランドホテル 札幌駅地下直結の好アクセス。昭和9年創業「北の迎賓館」,昭和9年12月11日。札幌グランドホテルは、故秩父宮殿下の提唱のもとに、「北海道初の本格的洋式ホテル」として誕生。80余年にわたり、北の迎賓館、市民の社交場としての大きな役割を担ってきました。時代は急ぎ足で移り変わりますが、私たちはつねに変わらぬ信念を抱き、“おもてなしの心”を育みながら、ここに在りつづけています。時とともに磨きぬかれた上質で洗練されたひとときを心ゆくまでお楽しみください。四季の彩り豊かな北の街・札幌で皆様のお越しをお待ち致しております。,https://www.ikyu.com/00000050/,43.062767,141.350885
名古屋観光ホテル, 名古屋観光ホテル 名古屋駅から1駅。上質なサービスと寛ぎの空間が非日常を演出,名古屋駅と栄駅から1駅の伏見駅から徒歩2分に位置する名古屋観光ホテル。2023年9月に宿泊者専用ラウンジがオープンし、より快適な寛ぎの場所としてプライベートな滞在を演出。上質なサービスと心を尽くしたおもてなしで皆様をお迎えいたします。,https://www.ikyu.com/00000053/,35.168759,136.895385
センチュリーロイヤルホテル, センチュリーロイヤルホテル 札幌駅前ショッピングゾーンに隣接。「お食事」評価が高いホテル,喧噪から離れたくつろぎの時間。ご家族・お仲間での楽しい時間。ご夫婦・カップルでの二人きりの時間。様々なシチュエーションで最上の時間をお過ごしいただけますように。センチュリーロイヤルホテルがお手伝いいたします。,https://www.ikyu.com/00000054/,43.066776,141.34821
グランドプリンスホテル大阪ベイ, グランドプリンスホテル大阪ベイ 大阪湾とベイエリアの街並みを一望するアーバンリゾート,大阪市内にありながら、都会の喧騒から離れた開放的なロケーションに位置し、客室からは大阪湾の彼方に沈む夕陽や、大阪中心部の夜景が望めます。週末をはじめ、ゴールデンウィークやお盆、お正月などの連休には、屋上でのサンセットツアーなどユニークな館内イベントを開催。大阪にいながら都会の喧騒を離れて非日常なリゾート気分を演出します。また、ホテル・大阪駅間は毎日無料シャトルバスが運行しており、土休日はユニバーサルシティ駅へもシャトルバスが運行。アクセスもよく観光の拠点におすすめです。,https://www.ikyu.com/00000056/,34.637085,135.416268
名古屋東急ホテル, 名古屋東急ホテル 名古屋栄で楽しむヨーロピアンテイストのラグジュアリー,香り高いヨーロピアン感覚に包まれた国際級ホテル、名古屋東急ホテル。名古屋の中心・栄、広小路通りに面し、名古屋観光、美術館巡りやビジネスの起点と しても最適です。大型の国際会議や少人数でのビジネスミーティングも可能な宴会場、贅をつくしたロイヤルスイートルーム、フィットネスクラブなど国際都市にふさわしい風格と機能を完備。レストランでは伝統的フレンチや中国料理、日本料理もお召し上がり頂けます。,https://www.ikyu.com/00000059/,35.168573,136.913648
ウェスティン都ホテル京都, ウェスティン都ホテル京都 東山の高台に立ち、多くの賓客を迎えてきた老舗ラグジュアリーホテル,2021年4月にグランドリニューアルを迎え、ホテル敷地内に湧出する天然温泉を利用した京都最大級のスパ施設、SPA「華頂」がオープンいたしました。水路閣をイメージしたデザインをあしらい、華頂山に続く庭園と一体となる半露天風呂を配し、東山の歴史や自然を間近で感じていただける寛ぎの空間に。天然温泉のほどよい温かさと自然豊かな環境ならではの心地よさを体験ください。ホテル周辺には名所旧跡が点在し、都心近くとは思えない静けさと安らぎが広がります。古都・京都でただ日常の喧騒から離れ、四季を楽しみ、心やすらぐ時をお過ごしください。,https://www.ikyu.com/00000060/,35.008587,135.787889
ウェスティンホテル大阪, ウェスティンホテル大阪 全室41平米以上。中自然の森に囲まれた癒しのロケーション,大阪の中心地・大阪駅北側に位置しながら、ロビーにつづく“中自然の森”をはじめ豊かな緑に囲まれたウェスティンホテル大阪。ウェスティンブランドの日本第一号として1993年に開業以来築き上げたおもてなしで、お客様の満ち足りた時間をお約束いたします。“東洋と西洋の文化が華開いた安土桃山時代”をコンセプトに、ヨーロピアンクラシックとジャパネスクの煌びやかな調和を表現した“都会のオアシス”です。,https://www.ikyu.com/00000061/,34.704617,135.489705
グランドニッコー東京 台場, グランドニッコー東京 台場 お台場に立つシティリゾートホテルで、東京湾のパノラマを一望,「グランドニッコー東京 台場」は日本国内初のグランドニッコーとして2016年7月1日にオープン。東京ベイエリア「お台場」に位置する都心から一番近いシティリゾートホテルです。都心や羽田空港からのアクセスも良く、お台場の観光やショッピングにも最適。高層階からは東京湾のパノラマビューやレインボーブリッジ、東京タワーなどが見渡せます。ホテルコンセプトは「東京を楽しむ　東京をくつろぐ」。心がほどけていくような喜びに満ちた体験をお届けします。,https://www.ikyu.com/00000065/,35.625309,139.772043
グランド ハイアット 福岡, グランド ハイアット 福岡 福岡市の中心に位置する、複合施設に併設された好アクセスホテル,グランド ハイアット 福岡は、福岡市のビジネスとショッピングの中心地、博多駅と天神地区のほぼ中央にある複合都市「キャナルシティ博多」の中央に位置し、福岡空港からも車で約20分、すぐそばにはナイトスポット中洲もある絶好のロケーションです。また市内には、市街が一望できる福岡タワーや福岡ドームをはじめ、情緒ただよう歴史的建造物や祭りなど、数々の魅力があります。,https://www.ikyu.com/00000066/,33.589866,130.410397
ヒルトン名古屋, ヒルトン名古屋 名古屋城に着想を得た、和モダンで居心地の良い客室が魅力,くつろぎの時間－ヒルトンタッチのホスピタリティー。交通至便な立地にそびえるヒルトン名古屋。レストランでは、洗練された料理やサービスが堪能できます。フィットネス・センター、ショッピング・アーケードなどの施設も充実しています。,https://www.ikyu.com/00000068/,35.167476,136.894496
横浜ベイホテル東急, 横浜ベイホテル東急 みなとみらい駅から徒歩1分。絶好の眺望を誇るアーバンオアシス,最上のくつろぎを湛えた「アーバンオアシス」と呼ばれるホテル。みなとみらいの中心に位置し、緑あふれる公園と横浜港を見渡す横浜ベイホテル東急。みなとみらい駅から徒歩1分という都市ホテルの機能と利便性に加え、上質なやすらぎの空間、洗練された味覚、そして心を尽くしたおもてなしで皆様をお迎えいたします。,https://www.ikyu.com/00000070/,35.456983,139.635233
東京ベイ舞浜ホテル ファーストリゾート, 東京ベイ舞浜ホテル ファーストリゾート 立地抜群！東京ディズニーリゾート(R)・オフィシャルホテル,東京ディズニーリゾート®・オフィシャルホテル東京ディズニーランド®パークに隣接する抜群のロケーションが魅力の東京ベイ舞浜ホテルファーストリゾート。「お城の中のゲストルーム」をイメージしたおとぎ話の世界を連想させる「モデレートルーム(キャッスルスタイル)」、「西部開拓時代のアメリカ」をイメージした探検心をくすぐるモデレートルーム(ウエスタンスタイル)などパークから戻ってきた後も夢の続きを演出する非日常感溢れるコンセプトルームが満載。ホテルからはJR舞浜駅や東京ディズニーランド®への無料送迎バスも運行されており、アクセスも快適です。,https://www.ikyu.com/00000071/,35.631703,139.873727
ホテル インターコンチネンタル 東京ベイ, ホテル インターコンチネンタル 東京ベイ 都内各地へアクセス至便。極上空間でベイエリアの夜景を愉しむ,「東京駅」から最寄駅まで6分、「羽田空港」から最速16分という好立地にありながら、客室からは一面に広がるレインボーブリッジビューやお台場夜景、隅田川や高層ビル群の煌めく夜景をお楽しみいただけます。2020年春に一部客室をリニューアルし、さらに1階ロビーにシンボルラウンジ「ハドソンラウンジ」を新設。最高の寝心地を追求した「シーリー社」「昭和西川」とのコラボによるオリジナルコンセプト寝具を開発し、フロアごとに異なるコンセプトを持つ上質な空間では、快適な寝具をはじめ、ここでしか味わえないおもてなしを。また個室で愉しむ鉄板焼やラグジュアリーなラウンジ・バーは、「特選食材」「くつろぎ」をテーマとして、ホテルでの時間をより充実させます。,https://www.ikyu.com/00000079/,35.653042,139.762316
ヒルトン福岡 シーホーク, ヒルトン福岡 シーホーク 福岡PayPayドームに隣接。客室からは博多湾や福岡市内を一望,ヒルトン福岡シーホークは、「日本の都市景観100選」に選ばれた福岡市シーサイドももち地区に位置する地上35階、客室1052室を持つ巨大ホテルです。豪華客船をイメージした建物は隣接する「福岡PayPayドーム」と共に福岡のランドマークとして地元を始めたくさんのお客様に親しまれております。オーシャンビューのジェットバス付ルームをはじめとした、博多湾や福岡市内を一望できるさまざまなタイプの客室。そして、最大4000名規模のコンベンションが可能な日本最大級のコンベンション施設、地上35階のスカイチャペルなど4つの挙式場、和・洋・中さまざまなスタイルの直営レストラン＆ラウンジ、プールなど付帯施設も充実し、ヒルトンホテルの洗練されたサービスと共にお客様のご要望にお応えいたします。,https://www.ikyu.com/00000081/,33.594772,130.359195
ホテル日航福岡, ホテル日航福岡 博多駅から地下直結。ビジネスにも観光にも絶好のロケーション,九州の表玄関、博多駅前に位置する国際級ホテル。ホテル日航福岡は、ビジネスにも、観光にも絶好のロケーションです。ゆきとどいた設備やインテリア、きめ細かなサービス。そして、何よりも、ゆっくりと過ごしていただきたいと願うスタッフが、皆様のお越しをお待ちいたしております。福岡でのご滞在を、どうぞ、こころゆくまでお楽しみください。,https://www.ikyu.com/00000082/,33.591529,130.417082
